pais,año,mortalidad_infantil,esperanza_de_vida,fecundidad,poblacion,pib
Eritrea,2009,40.7,59.8,4.66,2887885,3455322058.188
Eslovenia,2009,2.8,79,1.54,2035608,76871891724.2294
Espana,2009,4.1,81.6,1.38,46635180,1998046486022.15
Estados Unidos,2009,6.4,78.5,1.99,308023454,18110710854460.4
Estonia,2009,4,74.9,1.7,1334528,39439512742.423
Etiopia,2009,53.6,59.8,5.49,88007636,111264132574.54
Filipinas,2009,25.4,70.7,3.38,94384250,564465853751.723
Finlandia,2009,2.6,79.9,1.86,5338856,280531928880.279
Fiyi,2009,20.3,67.2,2.76,907239,8986909796.26176
Francia,2009,3.5,81.3,1.99,63106463,3053801508614.97
Gabon,2009,44.2,64.2,4.14,1661556,29766850144.4777
Gambia,2009,52.6,65.1,5.57,1871422,5123433835.6817
Georgia,2009,16,71.6,1.99,3918941,41368759425.3835
Ghana,2009,51.7,62.2,4.18,24862664,105938675826.135
Granada,2009,12,75,2.08,111254,1500876393.64234
Grecia,2009,4.2,80,1.51,11108069,442614140708.768
Guatemala,2009,29.3,70.9,3.47,14215611,138239002795.789
Guinea,2009,73.7,58.1,5.53,10143534,25585229955.4408
Guinea Ecuatorial,2009,81.2,59.3,5.29,1135673,44264823818.7186
Guinea-Bisau,2009,76.6,57.1,5.18,1526377,3162735125.70867
Guyana,2009,33.7,67.6,2.69,752094,7434196478.89506
Haiti,2009,60,60,3.57,9689581,32978228186.8753
Honduras,2009,21.4,74.1,3.17,8189899,43552740309.1905
Hungria,2009,5.9,74.3,1.32,10001378,274283626976.187
India,2009,48.2,67.1,2.67,1225524753,5813903325682.7
Indonesia,2009,28.5,70,2.44,243220028,2058372101462.72
Irak,2009,30.6,68.1,4.38,30058206,345158526482.627
Iran,2009,17.3,76.1,1.74,76457825,1085400936227
Irlanda,2009,3.6,80.1,2.06,4533752,266072364104.252
Islandia,2009,1.9,81.5,2.23,318612,17846427446.0321
Islas Marshall,2009,31.9,63,3.83,52019,210547923.11278
Islas Salomon,2009,27,64.1,4.35,518141,1302173163.04452
Israel,2009,3.8,81.8,2.94,7206096,262377364924.322
Italia,2009,3.5,81.5,1.44,59904010,2918862922297.96
Jamaica,2009,15.9,77.5,1.88,2736995,26913858384.8478
Japon,2009,2.4,83.1,1.33,128192470,5044897259467.9
Jordania,2009,18.3,74.5,3.84,7141753,78514321308.3957
Kazajistan,2009,21.1,68.1,2.58,16619846,413889708759.134
Kenia,2009,44.3,63.8,4.57,40408891,161613753301.083
Kiribati,2009,48.9,68.8,3.91,106467,228009664.38447
Kuwait,2009,9.5,77.5,2.16,2795484,190674830516.37
Laos,2009,61,63.5,3.23,6241642,28911082640.9693
Lesoto,2009,78.8,53,3.31,1980883,5038348653.54992
Letonia,2009,8.6,72.8,1.47,2142043,52491813380.3313
Libano,2009,9.2,80.4,2.19,4992287,81361337343.2529
Liberia,2009,68.6,57.7,5.17,3943028,5862741337.11616
Libia,2009,15.1,73.9,2.56,6366686,131618012881.188
Liechtenstein,2009,,81.9,1.68,35717,
Lituania,2009,6.1,72.3,1.5,3163254,82828874443.3295
Luxemburgo,2009,2,80.7,1.59,498187,63713852769.4613
Macedonia del Norte,2009,9.6,74.7,1.64,2060599,33083510912.6618
Madagascar,2009,43.8,60.5,5,21547280,36097252551.8216
Malasia,2009,6.9,74.8,2.22,28124778,622202710676.587
Malaui,2009,59.6,56.7,5.45,14395788,20863403972.8211
Maldivas,2009,12.4,74.4,2.39,348275,5648354963.88875
Mali,2009,85,60.4,6.59,15435539,38558200082.9601
Malta,2009,5.7,80.6,1.41,420795,14897816699.4886
Marruecos,2009,29.6,70.7,2.62,32030778,227041857545.801
Mauricio,2009,13.6,73.8,1.53,1278972,23171700006.4464
Mauritania,2009,71.1,65.7,5.41,3284448,18420368131.9037
Mexico,2009,15,75.7,2.36,111999721,2170112593921.05
"Micronesia, Estados Federados de",2009,33.8,65.3,3.31,107957,404923908.64074
Moldavia,2009,14.9,70.2,1.72,3706210,33151650773.667
Monaco,2009,3.3,78.1,2.4,32364,9997151265.6984
Mongolia,2009,26.8,67,2.63,2665326,24259446868.244
Montenegro,2009,6.8,74.9,1.96,632438,12005348144.5285
Mozambique,2009,74.3,59.4,5.68,22391745,26404869670.833
Myanmar,2009,47.3,63,2.37,48660459,174901943699.12
Namibia,2009,39.2,61.8,3.63,2077394,21116816975.0171
Nauru,2009,32.2,57.2,3.85,10016,70191041.16384
Nepal,2009,38.1,70.1,2.63,27173035,80411161181.4722
Nicaragua,2009,22.7,75,2.63,5656601,31285915043.5163
Niger,2009,68.9,55.1,7.68,15943675,20309891533.4315
Nigeria,2009,84.3,58.9,5.99,162049464,828635876445.421
Noruega,2009,2.7,80.8,1.97,4828623,405041188241.422
Nueva Zelanda,2009,5.2,80.6,2.13,4304304,177081361873.151
Oman,2009,10.1,73.9,2.83,2684659,130053901877.308
Paises Bajos,2009,3.8,80.5,1.78,16684150,1017404154411.94
Pakistan,2009,74.8,66.3,4.47,194376534,833559241571.705
Palaos,2009,17.2,68.1,1.94,18709,307209185.77056
Panama,2009,17.5,78.2,2.59,3564381,77653934812.8311
Papua Nueva Guinea,2009,51.6,64.4,3.94,7406438,24858325698.446
Paraguay,2009,21,73.9,2.76,5671236,65503694370.0949
Peru,2009,17.1,78.8,2.48,28896811,324010424289.329
Polonia,2009,5.3,76,1.4,38002155,995893362254.033
Portugal,2009,3.2,79.8,1.35,10576267,381280959579.278
Reino Unido,2009,4.6,80.1,1.89,62506226,2896720942261.08
Republica Centroafricana,2009,103.6,50.8,5.94,4529047,6338706171.94404
Republica Checa,2009,3.6,77.4,1.51,10420985,397082818001.159
Republica Democratica del Congo,2009,86.9,56.4,6.59,66412044,65802607237.0296
Republica Dominicana,2009,28.3,75.1,2.57,9695265,135639358104.836
Republica Eslovaca,2009,7.3,75.2,1.43,5385073,150145533002.563
Republica Kirguisa,2009,28.4,69,2.96,5398007,26862773800.1509
Republica del Congo,2009,45.3,61.7,4.81,4281219,34780409223.4866
Ruanda,2009,47.3,50.4,4.71,10060432,17122625483.7331
Rumania,2009,13,73.6,1.64,20576927,528561268772.41
Rusia,2009,10.9,69,1.56,143869132,4544077804993.03
Samoa,2009,17,70.6,4.47,191513,1171875100.42379
San Cristobal y Nieves,2009,10.4,73.5,1.8,46916,1176644335.93376
San Marino,2009,3.2,83.9,1.36,30090,2210635631.2818
San Vicente y las Granadinas,2009,18.8,73.8,2.17,110508,1516756883.4786
Santa Lucia,2009,14.3,75.8,1.74,169869,3529150004.37867
Santa Sede,2009,,,1,,
Santo Tome y Principe,2009,41,66.4,4.84,177853,872122464.29906
Senegal,2009,48.3,66.3,5.03,12337389,41493886901.2804
Serbia,2009,6.8,73.8,1.36,7425347,129619834573.387
Seychelles,2009,12.2,72.9,2.37,93628,2004535590.72688
Sierra Leona,2009,111.7,53.4,5.45,6055646,14351970280.222
Singapur,2009,2.2,82.4,1,4968568,420270064071.448
Siria,2009,13.7,74.2,3.42,21976969,203879253553.035
Somalia,2009,100,58.7,7.38,11961201,11408682026.6874
Sri Lanka,2009,9.7,73.4,2.18,20756435,190401911646.428
Suazilandia,2009,65.8,45.5,3.5,1105153,8814266842.78728
Sudafrica,2009,41.1,56.9,2.5,51728516,720889731313.215
Sudan,2009,54.5,65.1,5.17,34569113,145051417041.21
Sudan del Sur,2009,73.1,55.3,5.45,9243556,6205251091.58472
Suecia,2009,2.5,81.4,1.93,9298740,492522826385.027
Suiza,2009,3.9,82.2,1.49,7737645,562709198356.348
Surinam,2009,22.7,72.2,2.71,543568,11875668439.9016
Tailandia,2009,12.9,74.9,1.57,68121080,1068199300446.99
Tanzania,2009,45.6,61.9,5.26,43633982,111762700479.27
Tayikistan,2009,46,71.4,3.43,7490230,17720344713.0281
Timor Oriental,2009,55.3,68.3,4.99,1058782,4085681524.20574
Togo,2009,60.9,59,5.1,6551865,12611402356.5625
Tonga,2009,14.8,69.1,3.95,107203,586062747.35075
Trinidad y Tobago,2009,21.6,72.8,1.62,1379056,47339191525.8528
Tunez,2009,15.7,73.6,2,10650681,130515890796.385
Turkmenistan,2009,51.7,69,2.79,5451592,45546287897.0835
Turquia,2009,17.6,76.9,2.15,72464848,1329519781580.92
Tuvalu,2009,27,62.9,3.43,10461,38129733.97299
Ucrania,2009,10.6,69.6,1.47,46623731,747626831757.175
Uganda,2009,52.3,58.4,6.12,31451151,68893140201.8202
Uruguay,2009,11,76.5,2.02,3310091,76442019335.9992
Uzbekistan,2009,40.8,69.9,2.56,27939328,153034827969.736
Vanuatu,2009,23.8,69.3,4.16,232731,792304954.94673
Venezuela,2009,14.5,74.4,2.42,28438298,485357969624.773
Vietnam,2009,20.3,74,1.92,86460018,596347937876.111
Yemen,2009,44.7,68.6,5,25927724,89173146481.3549
Yibuti,2009,63.9,64.8,3.52,911527,3298388269.30404
Zambia,2009,55.6,54.7,5.45,13490389,41464733475.3306
Zimbabue,2009,57.7,53.9,3.95,13142790,28513021100.6232
Afganistan,2010,75.1,65.6,6.2,28284089,80569661645.1993
Albania,2010,14.8,78.1,1.65,2928722,34642021998.8883
Alemania,2010,3.5,80.3,1.4,80830924,4434823445397.71
Andorra,2010,2.5,82.7,1.28,80706,4703953873.19268
Angola,2010,109.6,60,6.19,23294825,225327096883.036
Antigua y Barbuda,2010,7.7,77.5,1.79,85320,2203526249.1648
Arabia Saudita,2010,14.7,71.6,2.81,25157128,1381416829638.72
Argelia,2010,23.5,74.5,2.88,36188236,524599909007.827
Argentina,2010,13,75.7,2.41,41288694,1158406210884.13
Armenia,2010,16.1,74,1.59,2931078,30596245848.8968
Australia,2010,4.1,82,1.95,22141581,1164421719671.99
Austria,2010,3.6,80.4,1.44,8365092,500260713960.232
Azerbaiyan,2010,33.9,71.5,1.92,9146851,182254574361.575
Bahamas,2010,11.4,72.4,1.84,367478,12020711430.279
Banglades,2010,39.2,68.3,2.38,152201981,627903778123.986
Barbados,2010,13.6,77.1,1.79,275243,5299366017.60541
Barein,2010,7.1,74.9,1.99,1213244,61517352570.5147
Belgica,2010,3.6,80,1.85,10936626,615349429767.209
Belice,2010,16.3,73.8,2.55,320245,3800808004.1688
Benin,2010,71,62.5,5.45,9797484,26782147527.816
Bielorrusia,2010,4.7,70.6,1.48,9490752,227897757702.202
Bolivia,2010,36.8,69.4,3.21,10182345,77097438541.3211
Bosnia y Herzegovina,2010,6.4,76.2,1.26,3811472,46266810543.4158
Botsuana,2010,39.8,65.8,3.14,2033111,29571639770.9289
Brasil,2010,14.8,74.9,1.79,193701929,3498674867809.99
Brunei,2010,7.7,76.5,1.94,392332,34755323892.8591
Bulgaria,2010,11.2,74,1.57,7437599,161514003207.065
Burkina Faso,2010,69.7,63.1,5.94,16176498,30314295574.7471
Burundi,2010,63.8,59,6.26,9376444,8885319177.83048
Butan,2010,34.1,69.4,2.25,701632,7005995176.40192
Cabo Verde,2010,23.3,75,2.33,509784,3605254386.756
Camboya,2010,36.7,70.1,2.86,14500726,53819988471.2323
Camerun,2010,66.2,55.7,5.15,19668066,84308797948.52
Canada,2010,4.9,81.5,1.64,34196899,1797335691977.05
Catar,2010,7.7,77.4,2.14,1709229,220567465876.682
Chad,2010,93.6,54.4,6.99,12312575,33459516507.4473
Chile,2010,7.6,78.8,1.84,17181464,414361406445.104
China,2010,13.5,76,1.69,1351561514,14159380594418.5
Chipre,2010,3,79.3,1.43,1127816,47484992147.757
Cisjordania y Gaza,2010,20.2,74.4,4.43,4016916,21820866353.2451
Colombia,2010,15.9,78,2.01,44777319,628542104641.292
Comoras,2010,63.1,74.8,4.76,654836,1736857892.39144
Corea del Norte,2010,24.8,72.7,1.89,24987258,42147287416.2096
Corea del Sur,2010,3.5,80.7,1.23,48769332,1834262024690.8
Costa Rica,2010,8.9,79.8,1.83,4555962,85018441584.9668
Costa de Marfil,2010,76.9,59.6,5.29,22488065,97567898982.6512
Croacia,2010,4.6,76.6,1.55,4301145,123462333686.655
Cuba,2010,4.9,78.5,1.67,11297409,150446220419.402
Dinamarca,2010,3.3,79.3,1.86,5547863,331187196476.391
Dominica,2010,17.2,75.5,1.89,68859,1206188502.13764
Ecuador,2010,21.3,75.8,2.62,15076695,175880168597.373
Egipto,2010,24.3,68.7,3.3,89196072,1171054143771.8
El Salvador,2010,17.1,73.5,2.24,6068249,52483859791.9677
Emiratos Arabes Unidos,2010,7.3,76.5,1.57,6938363,477358894612.199
Eritrea,2010,39.4,60,4.57,2945186,3847785372.676
Eslovenia,2010,2.7,79.3,1.58,2044612,77829660921.1238
Espana,2010,3.9,82,1.37,46840471,1999878613946.21
Estados Unidos,2010,6.3,78.7,1.92,311062790,18598261592246.6
Estonia,2010,3.6,75.5,1.72,1331448,40448204092.9202
Etiopia,2010,50.8,60.5,5.28,90538514,125050930893.991
Filipinas,2010,24.9,70.8,3.32,96337125,604326569247.27
Finlandia,2010,2.5,80.1,1.86,5363350,289717149928.231
Fiyi,2010,20.3,67.3,2.7,910419,9256548273.69078
Francia,2010,3.5,81.5,2.02,63417363,3115721865929.51
Gabon,2010,42.8,64.7,4.15,1719879,31870348675.0931
Gambia,2010,51.7,65.8,5.56,1926630,5441212702.2717
Georgia,2010,14.9,71.7,1.97,3895925,44002012948.9958
Ghana,2010,50.2,62.6,4.18,25474995,114527659127.304
Granada,2010,11.9,75.1,2.04,111586,1491133987.25958
Grecia,2010,4.1,80.3,1.49,11124670,417917678589.288
Guatemala,2010,28.4,71.3,3.38,14500112,142463852701.949
Guinea,2010,71.2,58.6,5.44,10396086,26976081033.423
Guinea Ecuatorial,2010,78.9,59.4,5.21,1189085,40035153123.5259
Guinea-Bisau,2010,73.4,57.6,5.11,1566347,3348891958.08042
Guyana,2010,33.5,67.8,2.68,749256,7773077520.29856
Haiti,2010,85.5,31,3.5,9803294,31323957605.6037
Honduras,2010,20.7,74.1,3.08,8365878,45142882373.6618
Hungria,2010,5.7,74.6,1.26,9979129,277438086126.343
India,2010,46.3,67.6,2.6,1243481564,6291124776948.96
Indonesia,2010,27.4,70.2,2.46,246305322,2179364843714.07
Irak,2010,30,68.4,4.46,31045366,366858154429.713
Iran,2010,16.4,76.4,1.75,77420842,1140963014592.23
Irlanda,2010,3.5,80.6,2.06,4559080,270288743041.136
Islandia,2010,1.9,81.7,2.19,318158,17367917813.1469
Islas Marshall,2010,31.8,63.1,3.67,52044,222194490.13092
Islas Salomon,2010,26.6,64.4,4.34,532968,1429572226.44072
Israel,2010,3.7,82,3.03,7336735,276759325657.983
Italia,2010,3.4,81.9,1.44,60164213,2966197733990.47
Jamaica,2010,15.5,77.3,1.8,2748568,26534874413.3518
Japon,2010,2.4,83.1,1.36,128185275,5240444421703.64
Jordania,2010,17.8,74.9,3.78,7297043,79928435088.2281
Kazajistan,2010,19.3,68.7,2.61,16836810,444068182824.744
Kenia,2010,42.4,64.4,4.45,41598567,175193389493.205
Kiribati,2010,48.3,68.9,3.9,108704,230413366.12672
Kuwait,2010,9.2,78,2.04,2943372,185303561398.859
Laos,2010,59,63.9,3.14,6334194,31329592668.2542
Lesoto,2010,75.2,53.3,3.25,1996251,5292816083.69055
Letonia,2010,8.2,73.3,1.37,2097831,50599118941.9382
Libano,2010,8.7,80.4,2.26,5041288,87671821632.8192
Liberia,2010,65.2,57.9,5.06,4058890,6246026245.3787
Libia,2010,14.3,74,2.6,6497839,137169172904.303
Liechtenstein,2010,,82.1,1.44,35999,
Lituania,2010,5.6,72.9,1.5,3097720,83289919580.8132
Luxemburgo,2010,1.9,80.9,1.62,507410,66689941361.636
Macedonia del Norte,2010,8.7,74.9,1.71,2051505,34322024841.4688
Madagascar,2010,42.1,60.7,4.9,22183340,36275198258.4674
Malasia,2010,6.8,74.9,2.14,28655776,667907963036.354
Malaui,2010,57.5,57.3,5.26,14826463,22304562351.3298
Maldivas,2010,11.2,74.7,2.35,360792,6036055362.62064
Mali,2010,82.9,60.8,6.58,15945198,41368471233.5487
Malta,2010,5.6,80.9,1.38,422651,15846316784.2975
Marruecos,2010,28.5,70.9,2.63,32467016,234107857758.428
Mauricio,2010,13.3,74,1.5,1282709,24140581340.4927
Mauritania,2010,70.1,66,5.38,3390965,19008949149.2538
Mexico,2010,14.4,75.4,2.34,113623895,2279111885649.04
"Micronesia, Estados Federados de",2010,32.9,65.5,3.27,107540,413194073.4202
Moldavia,2010,14.7,70.5,1.7,3631992,35048544796.0721
Monaco,2010,3.2,78.3,2.39,33163,10543004609.1149
Mongolia,2010,25,66.9,2.52,2701732,25685687143.7962
Montenegro,2010,6.3,75.1,1.73,632088,12313963707.9127
Mozambique,2010,71.9,60,5.66,22999235,28156358293.8893
Myanmar,2010,45.8,63.4,2.34,49024382,190890663585.338
Namibia,2010,37.5,62.2,3.66,2109811,22394842374.3898
Nauru,2010,32,57.3,4.02,10043,69967428.48381
Nepal,2010,36.3,70.6,2.54,27341952,84358509206.8646
Nicaragua,2010,22,75,2.6,5737450,32709936269.855
Niger,2010,66.1,55.6,7.64,16548835,22118578757.8235
Nigeria,2010,81.5,59.3,5.95,166642886,893125627077.533
Noruega,2010,2.6,81,1.94,4889162,407055924473.897
Nueva Zelanda,2010,5.1,80.9,2.17,4347770,179436504847.923
Oman,2010,10,73.9,2.97,2757446,132885774664.141
Paises Bajos,2010,3.7,80.7,1.79,16771235,1031742126161.9
Pakistan,2010,73.5,66.5,4.4,199239047,842538449825.773
Palaos,2010,16.6,68.2,1.94,18396,304101435.28968
Panama,2010,17,78.1,2.59,3628535,82509658753.5417
Papua Nueva Guinea,2010,50.3,64.4,3.88,7633523,27321687279.1774
Paraguay,2010,20.4,73.8,2.7,5737971,73093582882.5598
Peru,2010,16.3,79,2.42,29086019,350748827251.062
Polonia,2010,5,76.4,1.41,38095351,1032846237469.92
Portugal,2010,3.1,80.1,1.38,10578660,388269764158.813
Reino Unido,2010,4.4,80.4,1.92,63006483,2962179382829.66
Republica Centroafricana,2010,101.7,50.8,5.96,4492995,6646998267.1716
Republica Checa,2010,3.4,77.6,1.51,10464035,409116442928.282
Republica Democratica del Congo,2010,84.8,57.1,6.59,68563038,70705643221.9557
Republica Dominicana,2010,27.9,75,2.56,9820175,147057130543.377
Republica Eslovaca,2010,7,75.5,1.43,5391851,160385252481.533
Republica Kirguisa,2010,26.5,69.4,3.1,5491761,26780460759.1637
Republica del Congo,2010,42.2,62,4.85,4462290,38302788213.522
Ruanda,2010,43.8,52.4,4.52,10317553,18356562222.326
Rumania,2010,12.1,73.9,1.57,20432574,508775798834.769
Rusia,2010,10.3,69.2,1.59,143934465,4758989553255.42
Samoa,2010,16,72.7,4.52,193023,1240618959.24588
San Cristobal y Nieves,2010,10,73.6,1.76,46846,1171036035.3935
San Marino,2010,3.1,84.2,1.46,30624,2102927193.1536
San Vicente y las Granadinas,2010,18.6,73.8,2.14,109959,1448789327.55618
Santa Lucia,2010,14.1,75.6,1.67,170906,3563228614.33872
Santa Sede,2010,,,1,,
Santo Tome y Principe,2010,39.8,66.5,4.77,181802,887566083.22392
Senegal,2010,46.7,67.1,5.06,12635413,43005475602.6499
Serbia,2010,6.6,74.1,1.4,7395864,131945429481.667
Seychelles,2010,12.2,73.2,2.2,94971,2061702213.84195
Sierra Leona,2010,107,53.9,5.33,6222714,15320203947.5697
Singapur,2010,2.2,82.8,0.93,5077014,484632409513.52
Siria,2010,13.2,74.5,3.36,22482421,214629792038.146
Somalia,2010,97.8,52.4,7.32,12261756,12198834308.6158
Sri Lanka,2010,9.4,74.2,2.13,20879089,205287091151.954
Suazilandia,2010,59.1,48.1,3.38,1111650,9127421308.9335
Sudafrica,2010,38.2,58.2,2.45,52344051,742360828851.368
Sudan,2010,53.3,65.6,5.14,35414399,149442988045.667
Sudan del Sur,2010,70.6,56,5.32,9745953,6486107148.654
Suecia,2010,2.5,81.6,1.97,9378232,520753902020.216
Suiza,2010,3.9,82.4,1.52,7825753,581377240404.256
Surinam,2010,22.1,72.4,2.69,549923,12523108016.8904
Tailandia,2010,12.5,75.1,1.56,68579447,1147359508303.71
Tanzania,2010,42.4,62.4,5.23,44758488,118824989254.353
Tayikistan,2010,44.7,71.7,3.46,7652141,18742186858.2562
Timor Oriental,2010,53.1,68.5,4.82,1084679,4392065947.46179
Togo,2010,59.3,59.5,5.09,6732590,13390799086.2649
Tonga,2010,15,71.7,3.88,107400,589491792.96
Trinidad y Tobago,2010,21,73.1,1.61,1386654,48796654692.4556
Tunez,2010,14.9,73.8,2.08,10765980,134125349464.953
Turkmenistan,2010,50.4,69.4,2.85,5564356,49201887792.251
Turquia,2010,16.4,77.3,2.08,73346769,1435014051982.06
Tuvalu,2010,26.3,62.9,3.44,10614,37213323.28122
Ucrania,2010,10.1,70.4,1.44,46456003,781008795238.905
Uganda,2010,49.5,59.3,6.02,32390802,72704586894.4719
Uruguay,2010,10.6,76.4,2.01,3318580,82565722900.6716
Uzbekistan,2010,39.6,70.1,2.44,28385506,163523368298.591
Vanuatu,2010,23.9,69.4,4.13,238248,800477435.5884
Venezuela,2010,14.3,74.6,2.4,28813101,481034778821.202
Vietnam,2010,19.8,74.2,1.91,87455152,636212889894.483
Yemen,2010,42.4,69.2,4.81,26754387,96396858992.61
Yibuti,2010,62.2,64.9,3.43,930251,3499737706.50595
Zambia,2010,52.9,55.4,5.36,13965594,45618717403.2991
Zimbabue,2010,55.8,56.7,4.04,13356548,34239221628.7358
Afganistan,2011,73.4,66,6.09,29347708,80913174351.9637
Albania,2011,14.3,78.3,1.68,2911504,35381811171.0086
Alemania,2011,3.4,80.6,1.39,80857874,4689139482824.71
Andorra,2011,2.4,82.9,1.32,77783,4703574275.54592
Angola,2011,106.8,60.5,6.12,24218352,233150573602.051
Antigua y Barbuda,2011,7.2,77.7,1.75,86332,2160364841.2934
Arabia Saudita,2011,14.2,71.9,2.8,26105645,1530977687278.3
Argelia,2011,22.8,74.6,2.9,36903376,540337906191.768
Argentina,2011,12.7,76,2.39,41730660,1227956360345.9
Armenia,2011,15.3,74.3,1.62,2923271,32127266001.2941
Australia,2011,3.8,82.1,1.92,22479775,1193957788597.7
Austria,2011,3.4,80.7,1.43,8393270,514901594510.767
Azerbaiyan,2011,32.5,71.6,1.98,9256150,179181271735.909
Bahamas,2011,11.1,72.6,1.79,371729,12094418915.2032
Banglades,2011,37.2,68.7,2.31,153591076,668493858594.539
Barbados,2011,13.3,77.2,1.76,276139,5260604622.98443
Barein,2011,6.7,75.2,2.03,1206728,64116268409.6098
Belgica,2011,3.5,80.2,1.81,11038631,624899848334.863
Belice,2011,15.9,73.9,2.53,327298,3791513364.29768
Benin,2011,69.8,62.5,5.44,10093623,27575904206.2875
Bielorrusia,2011,4.3,71.1,1.52,9472735,240652527011.301
Bolivia,2011,35.3,69.6,3.14,10348929,81109660561.2935
Bosnia y Herzegovina,2011,6.2,76.3,1.21,3741798,46710745772.6164
Botsuana,2011,39.9,66.3,3.1,2073535,31593869882.8408
Brasil,2011,14.4,75,1.78,195284734,3637727008730.67
Brunei,2011,7.8,76.8,1.96,399389,36056704461.6993
Bulgaria,2011,10.9,74.3,1.51,7380025,164666034238.28
Burkina Faso,2011,67.3,64.1,5.87,16661908,32321878821.4728
Burundi,2011,61.6,59.5,6.11,9717978,9243628528.13388
Butan,2011,32.3,69.8,2.16,709377,7600752214.96689
Cabo Verde,2011,22.9,74.9,2.33,511447,3746750464.25574
Camboya,2011,33.6,70.7,2.78,14722584,57741667040.4461
Camerun,2011,64.4,56.2,5.05,20232304,87157770441.7158
Canada,2011,4.7,81.7,1.63,34555452,1854975699617.46
Catar,2011,7.5,78.2,2.07,1810950,263658056582.43
Chad,2011,91.9,54.7,6.95,12754997,34983125807.651
Chile,2011,7.5,79.2,1.82,17351816,440150832641.54
China,2011,12.5,76.7,1.67,1360250664,15513682328051.5
Chipre,2011,2.9,79.5,1.36,1146493,47251414707.5874
Cisjordania y Gaza,2011,19.8,74.7,4.31,4115908,23894167763.8542
Colombia,2011,15.4,78.6,1.94,45259614,672212530922.199
Comoras,2011,61.3,74.2,4.72,668056,1839126742.64576
Corea del Norte,2011,23.8,72.8,1.88,25097874,42478931033.9877
Corea del Sur,2011,3.4,81.1,1.26,49127643,1901164181570.19
Costa Rica,2011,8.8,79.9,1.88,4609833,88761938983.5253
Costa de Marfil,2011,75,59.8,5.24,22982000,92328066519.24
Croacia,2011,4.3,77,1.49,4280824,123183488084.228
Cuba,2011,4.8,78.8,1.73,11301571,158509485962.459
Dinamarca,2011,3.2,79.7,1.75,5570849,335534208353.299
Dominica,2011,17.9,75.6,1.86,69053,1206704013.76883
Ecuador,2011,20.7,76.3,2.61,15326227,190797403798.131
Egipto,2011,23.4,68.8,3.31,91093059,1191718237185.57
El Salvador,2011,16.5,73.9,2.22,6090127,54464382861.6638
Emiratos Arabes Unidos,2011,7,77,1.54,7199423,508729342568.297
Eritrea,2011,38.2,60.3,4.49,2998485,4957377259.59
Eslovenia,2011,2.6,79.6,1.57,2048804,78337501897.4834
Espana,2011,3.8,82.2,1.34,46998043,1986693503979.53
Estados Unidos,2011,6.1,78.8,1.88,314105078,18923412576609.8
Estonia,2011,3.2,76.1,1.62,1327358,43523315385.052
Etiopia,2011,48.3,61.2,5.08,93149970,139029494529.481
Filipinas,2011,24.4,70.9,3.24,98248614,627642895100.724
Finlandia,2011,2.4,80.4,1.83,5388241,296640936904.876
Fiyi,2011,20.1,67.4,2.63,912989,9506951151.97982
Francia,2011,3.5,81.8,2,63733777,3192149749940.02
Gabon,2011,41.3,65,4.15,1781985,34130515198.9227
Gambia,2011,50.9,67.2,5.54,1983784,4998817937.31672
Georgia,2011,13.8,72,1.92,3868724,47541522424.9324
Ghana,2011,48.6,62.9,4.18,26095088,130615500948.675
Granada,2011,11.8,75.3,2.01,112079,1502537785.29052
Grecia,2011,4,80.3,1.4,11108844,376661927326.949
Guatemala,2011,27.5,71.6,3.29,14792126,148395914916.332
Guinea,2011,68.9,58.9,5.34,10656810,28490008887.9513
Guinea Ecuatorial,2011,76.6,59.9,5.13,1241835,42647015931.7671
Guinea-Bisau,2011,70.3,58.1,5.07,1608076,3619651266.11952
Guyana,2011,33.5,67.8,2.69,746153,8176986176.04164
Haiti,2011,57.5,59.2,3.43,9914904,32920919867.8562
Honduras,2011,19.9,74.1,3,8540583,46874423725.6588
Hungria,2011,5.5,75,1.25,9946676,282635965682.962
India,2011,44.4,67.9,2.53,1261224954,6620862523964.23
Indonesia,2011,26.3,70.4,2.52,249470032,2313826950437.53
Irak,2011,29.3,68.7,4.59,32161424,394542999103.283
Iran,2011,15.7,76.6,1.79,78383598,1171149677477.84
Irlanda,2011,3.4,80.8,2.03,4579602,274781056078.22
Islandia,2011,1.8,81.9,2.02,319137,17688803939.5213
Islas Marshall,2011,31.6,63.1,3.53,51907,221077935.25014
Islas Salomon,2011,26.1,63.9,4.34,552945,1535788718.68335
Israel,2011,3.5,82.1,3.01,7471023,291933028197.614
Italia,2011,3.3,82,1.43,60367880,2986581027928.77
Jamaica,2011,15.1,77,1.72,2760494,26994027605.5028
Japon,2011,2.3,82.9,1.36,128096432,5247770484753.68
Jordania,2011,17.3,75.2,3.69,7480424,82116220186.3892
Kazajistan,2011,17.5,69.1,2.61,17066002,476929228254.761
Kenia,2011,40.3,65,4.28,42758461,184165229054.881
Kiribati,2011,47.5,69.1,3.88,110647,237933430.01394
Kuwait,2011,8.9,78.1,1.96,3132814,203145763344.018
Laos,2011,57.1,64.3,3.05,6426590,33848069791.8353
Lesoto,2011,71.9,53.3,3.34,2014009,5537154377.99622
Letonia,2011,7.8,73.7,1.34,2059941,52134495137.3996
Libano,2011,8.3,80,2.32,5096020,88432234287.6016
Liberia,2011,62.1,58.2,4.97,4221178,6758248400.54572
Libia,2011,13.9,71.7,2.65,6343203,68120248013.2235
